school_name,course_name,duration_weeks,cost,school_id
ironhack,Web Development,9 ,10920.0,10828
ironhack,Web Development,24 ,11830.0,10828
ironhack,UX/UI Design,9 ,10920.0,10828
ironhack,UX/UI Design,24 ,11830.0,10828
ironhack,Cyber Security,12 ,7500.0,10828
ironhack,Cyber Security,not specified,7500.0,10828
ironhack,Data Analytics,9 ,7500.0,10828
ironhack,Data Analytics,24 ,8000.0,10828
app-academy,16-Week Online Full-Time Accelerated Software Engineering Bootcamp,not specified,0.0,10525
app-academy,16-week Software Engineering Program,16 ,15470.0,10525
app-academy,24-week Software Engineering Program (Full Time),24 ,18200.0,10525
app-academy,48-week Software Engineering Program (Part Time),52 ,20020.0,10525
app-academy,App Academy Open,not specified,0.0,10525
app-academy,Bootcamp Prep,4 ,455.0,10525
app-academy,Bootcamp Prep Self-Paced,4 ,455.0,10525
brainstation,Artificial Intelligence Course,5 ,2957.5,10571
brainstation,Cyber Security,12 ,15015.0,10571
brainstation,Cyber Security,10 ,2957.5,10571
brainstation,Data Analytics,10 ,2957.5,10571
brainstation,Data Science Bootcamp,12 ,15015.0,10571
brainstation,Data Science Course,10 ,2957.5,10571
brainstation,Design Leadership Course,8 ,3594.5,10571
brainstation,Digital Marketing Course,8 ,2957.5,10571
brainstation,Marketing Leadership Course,8 ,3594.5,10571
brainstation,Product Leadership Course,8 ,3594.5,10571
udacity,AI Programming with Python,12 ,980.07,11118
udacity,Al Product Manager,8 ,653.38,11118
udacity,Android Basics,12 ,980.07,11118
udacity,Android Developer,16 ,1960.14,11118
udacity,Artificial Intelligence,12 ,980.07,11118
udacity,Artificial Intelligence for Trading,24 ,1960.14,11118
udacity,Blockchain Developer,16 ,1306.76,11118
udacity,Business Analytics,12 ,980.07,11118
udacity,C++,16 ,1306.76,11118
udacity,Cloud Dev Ops Engineer,16 ,1306.76,11118
design-sprint-school,Live Online Design Sprint Experience,5 ,71.89,10698
design-sprint-school,Online Bootcamp (self-paced),4 ,71.89,10698
neoland,Data Science Bootcamp,12 ,6950.0,10906
neoland,Data Science Part-Time,36 ,6950.0,10906
neoland,Full Stack Part-Time,36 ,6950.0,10906
neoland,UX/UI Design,12 ,6950.0,10906
neoland,UX/UI Design,36 ,6950.0,10906
neoland,Web Development,12 ,6950.0,10906
ux-design-institute,UX/UI Design,6 ,977.5,11150
ux-design-institute,Professional Certificate in UI Design,12 ,2012.5,11150
ux-design-institute,UX/UI Design,24 ,3392.5,11150
careerfoundry,Animation for UI Designers Course,8 ,1820.0,10581
careerfoundry,Web Development,8 ,1820.0,10581
careerfoundry,Data Analytics,32 ,6279.0,10581
careerfoundry,Digital Marketing Program,28 ,6279.0,10581
careerfoundry,Frontend Development for Designers Course,8 ,1820.0,10581
careerfoundry,Web Development,40 ,7735.0,10581
careerfoundry,Data Analytics,4 ,627.9,10581
careerfoundry,Intro to Digital Marketing Course,4 ,627.9,10581
